404001,,100:0
404001,,100:100
404001,,100:110
404001,,100:120
404001,,100:130
404001,,100:140
404001,,100:200
404001,,100:210
404001,,100:220
404001,,100:230
404001,,100:240
404001,,100:300
404001,,100:310
404001,,100:320
404001,,100:330
404001,,100:340
404001,,100:400
404001,,100:410
404001,,100:420
404001,,100:430
404001,,100:440
404001,,100:500
404001,,100:510
404001,,100:520
404001,,100:530
404001,,100:540
404001,,100:600
404001,,100:610
404001,,100:620
404001,,100:630
404001,,100:640
404001,,100:700
404001,,100:800
404001,,100:900
401001,,200:0
401001,,200:100
401001,,200:200
401001,,200:300
401001,,200:400
401001,,200:500
401001,,200:600
401001,,200:700
401001,,200:800
402001,,300:0
402001,,300:100
402001,,300:101
402001,,300:102
402001,,300:110
403001,,300:200
403001,,300:210
403001,,300:300
403001,,300:400
401001,,300:500
401001,,300:510
401001,,300:600
402001,,300:700
402001,,300:800
401001,,400:0
401001,,400:100
401001,,400:110
401001,,400:200
401001,,400:201
401001,,400:202
401001,,400:203
401001,,400:204
401001,,400:205
401001,,400:210
401001,,400:211
401001,,400:212
401001,,400:220
401001,,400:221
401001,,400:222
401001,,400:230
401001,,400:231
401001,,400:232
401001,,400:240
401001,,400:241
401001,,400:242
401001,,400:243
401001,,400:250
401001,,400:251
401001,,400:260
401001,,400:261
401001,,400:262
401001,,400:270
401001,,400:271
401001,,400:272
401001,,400:280
401001,,400:300
401001,,400:400
401001,,400:410
401001,,400:500
401001,,400:510
401001,,400:600
401001,,400:700
401001,,400:800
402002,,500:0
402002,,500:100
402002,,500:200
402002,,500:300
402002,,500:400
402002,,500:500
402002,,500:600
402002,,500:700
402002,,500:800
405001,,600:0
405001,,600:100
405001,,600:110
405001,,600:120
405001,,600:130
405001,,600:140
405001,,600:150
405001,,600:160
401001,,600:200
401001,,600:210
401001,,600:220
401001,,600:230
405001,,600:300
405001,,600:310
405001,,600:320
405001,,600:330
405001,,600:340
405001,,600:350
405001,,600:360
405001,,600:700
405001,,600:800
405001,,600:990
405001,,700:0
405001,,700:100
405001,,700:110
405001,,700:120
405001,,700:130
405001,,700:140
405001,,700:200
405001,,700:300
405001,,700:400
405001,,700:500
405001,,700:700
405001,,700:800
406001,,800:0
250011,,800:100
406001,,800:200
406001,,800:700
406001,,800:800
406001,,900:0
406001,,900:100
406001,,900:200
406001,,900:300
406001,,900:400
406001,,900:500
406001,,900:600
406001,,900:700
406001,,900:800
406002,,950:0
406002,,950:110
406002,,950:120
406002,,950:130
406002,,950:140
406002,,950:150
406002,,950:160
406002,,950:200
406002,,950:210
406002,,950:220
406002,,950:230
406002,,950:240
406003,,960:0
406004,,960:100
406005,,960:200
